email_cost,policy,aipw_net_value,standard_error,ci_low,ci_high,ci_label
0.0,no_email_all,0.6570620491934415,0.07928508186497624,0.5016661442267782,0.8124579541601047,fixed_policy_influence_function_95pct
0.0,mens_all,1.4248277795776803,0.1214860022036323,1.1867195906328072,1.6629359685225533,fixed_policy_influence_function_95pct
0.0,womens_all,1.0758080890473711,0.10366121213528647,0.8726358466684433,1.278980331426299,fixed_policy_influence_function_95pct
0.0,personalized_dr,1.3463578305243382,0.11865571012358261,1.1137969121220916,1.5789187489265848,fixed_policy_influence_function_95pct
0.05,no_email_all,0.6570620491934415,0.07928508186497624,0.5016661442267782,0.8124579541601047,fixed_policy_influence_function_95pct
0.05,mens_all,1.3748277795776802,0.1214860022036323,1.1367195906328074,1.612935968522553,fixed_policy_influence_function_95pct
0.05,womens_all,1.0258080890473709,0.10366121213528647,0.822635846668443,1.2289803314262988,fixed_policy_influence_function_95pct
0.05,personalized_dr,1.2968271015493265,0.11865484688117542,1.0642678750711079,1.529386328027545,fixed_policy_influence_function_95pct
0.1,no_email_all,0.6570620491934415,0.07928508186497624,0.5016661442267782,0.8124579541601047,fixed_policy_influence_function_95pct
0.1,mens_all,1.3248277795776804,0.1214860022036323,1.0867195906328075,1.5629359685225532,fixed_policy_influence_function_95pct
0.1,womens_all,0.9758080890473712,0.10366121213528647,0.7726358466684433,1.178980331426299,fixed_policy_influence_function_95pct
0.1,personalized_dr,1.2448320715390409,0.11862324265748891,1.0123347882010072,1.4773293548770745,fixed_policy_influence_function_95pct
0.25,no_email_all,0.6570620491934415,0.07928508186497624,0.5016661442267782,0.8124579541601047,fixed_policy_influence_function_95pct
0.25,mens_all,1.1748277795776803,0.1214860022036323,0.9367195906328073,1.4129359685225533,fixed_policy_influence_function_95pct
0.25,womens_all,0.825808089047371,0.10366121213528647,0.6226358466684432,1.0289803314262989,fixed_policy_influence_function_95pct
0.25,personalized_dr,1.096676515020109,0.11862370217346356,0.8641783310473147,1.3291746989929032,fixed_policy_influence_function_95pct
0.5,no_email_all,0.6570620491934415,0.07928508186497624,0.5016661442267782,0.8124579541601047,fixed_policy_influence_function_95pct
0.5,mens_all,0.9248277795776804,0.1214860022036323,0.6867195906328074,1.1629359685225533,fixed_policy_influence_function_95pct
0.5,womens_all,0.5758080890473711,0.10366121213528647,0.3726358466684433,0.778980331426299,fixed_policy_influence_function_95pct
0.5,personalized_dr,0.8369338408864814,0.11644528715138261,0.6087052719003467,1.065162409872616,fixed_policy_influence_function_95pct
1.0,no_email_all,0.6570620491934415,0.07928508186497624,0.5016661442267782,0.8124579541601047,fixed_policy_influence_function_95pct
1.0,mens_all,0.4248277795776803,0.1214860022036323,0.18671959063280735,0.6629359685225533,fixed_policy_influence_function_95pct
1.0,womens_all,0.07580808904737103,0.10366121213528647,-0.12736415333155682,0.2789803314262989,fixed_policy_influence_function_95pct
1.0,personalized_dr,0.6866656942279965,0.09219586052151062,0.5059651280821575,0.8673662603738355,fixed_policy_influence_function_95pct
