model,selected,cluster_count,noise_rate,silhouette,stability_or_persistence,density_validity,umap_robustness_pass
KMEANS,False,2,0.0,0.0721410439430192,0.9976814545602605,,
HDBSCAN,True,4,0.14425178802606167,0.5595516562461853,0.41402535076819685,0.3418326236805455,True
