min_cluster_size,min_samples,cluster_count,noise_rate,assigned_share,silhouette_assigned,relative_validity,mean_cluster_persistence,min_cluster_persistence,largest_cluster_share_assigned,search_stage,quality_pass,pareto_frontier,composite_score
2545,8,4,0.1431269763789554,0.8568730236210446,0.5609503984451294,0.34277518700985643,0.24041692894219854,0.09772629788703026,0.33424148606811144,BOUNDARY,False,False,
2545,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.3380304504038902,0.09750890915907857,0.33475522047517486,BOUNDARY,True,False,0.5185897435897436
2545,12,4,0.09174642925359197,0.908253570746408,0.532276451587677,0.06212415688925172,0.37822257460918646,0.13396136826922478,0.31540330872044114,BOUNDARY,True,False,0.5275641025641026
3204,8,3,0.20586175428171227,0.7941382457182877,0.5536636710166931,0.28123020259713694,0.3827445559599805,0.0960814503516846,0.360645661295064,BOUNDARY,True,False,0.4115384615384615
3204,10,3,0.20698656592881853,0.7930134340711814,0.5507192611694336,0.28039684863519315,0.42677621613405964,0.09674229495972461,0.3612374886260237,BOUNDARY,True,True,0.423076923076923
3204,12,3,0.15448120715634883,0.8455187928436512,0.5226280689239502,0.043529869725647805,0.4718446748843901,0.13334583107509845,0.33880522088353415,BOUNDARY,True,True,0.4589743589743589
94,5,77,0.1621851057959634,0.8378148942040367,0.5398998856544495,0.2651672128577051,0.1715993757227735,0.0015540754998984822,0.31344833700635816,COARSE,False,False,
94,10,73,0.1579617564039984,0.8420382435960017,0.5289539694786072,0.2789086080714953,0.17073880925994692,0.001490259896635472,0.31290956749672344,COARSE,False,False,
94,20,72,0.08024363844733547,0.9197563615526645,0.4560246169567108,0.1558287305188119,0.15804232753882566,0.0009137205579316575,0.2854077253218884,COARSE,False,False,
94,40,89,0.27519684203824357,0.7248031579617564,0.6374773979187012,0.3666508920737778,0.12777247162754155,0.0018804491801104168,0.07050831576481612,COARSE,False,False,
94,80,88,0.3134192151785904,0.6865807848214096,0.6755049228668213,0.3428015948907307,0.11900996488101998,0.0013449969582560906,0.08095576643689531,COARSE,False,False,
236,5,39,0.1950593178972389,0.8049406821027612,0.4819784462451935,0.18326427983006643,0.15219330544915607,0.0016527717089462152,0.3262497363425438,COARSE,False,False,
236,10,39,0.19811540991956536,0.8018845900804347,0.492023229598999,0.21052899734482075,0.14698952604348617,0.0018223910319927945,0.328578234173195,COARSE,False,False,
236,20,37,0.11375453638659565,0.8862454636134044,0.4115447700023651,0.10045822500240506,0.1342583963688638,0.004768887532566845,0.2961996216384492,COARSE,False,False,
236,40,41,0.20182941064114263,0.7981705893588573,0.5030391216278076,0.19317837812481076,0.10759012005640699,0.0011488778557400894,0.32670371453641417,COARSE,False,False,
236,80,47,0.31049046032386085,0.6895095396761391,0.5789360404014587,0.29000717729308895,0.08700738121968264,0.001740811253185381,0.08061189941210871,COARSE,False,False,
471,5,16,0.13896729557078885,0.8610327044292112,0.44388702511787415,0.15815926443812897,0.2598335591278763,0.00954142754607141,0.31902097557368564,COARSE,False,False,
471,10,19,0.25096033447229354,0.7490396655277065,0.4426332414150238,0.22948584937981878,0.248111866353308,0.029809170149788802,0.35175950586501953,COARSE,False,False,
471,20,20,0.14883592605955134,0.8511640739404487,0.41234278678894043,0.15814697564077018,0.22402001608857208,0.0019031737655194586,0.3084077195432105,COARSE,False,False,
471,40,21,0.22152422589613532,0.7784757741038647,0.4428621232509613,0.2917522671527009,0.24334868319911462,0.007844859234328164,0.3349690575502304,COARSE,False,False,
471,80,18,0.19586578662535284,0.8041342133746472,0.4110642075538635,0.12447659828957938,0.23180643253274802,0.004318056131926684,0.321298495645289,COARSE,False,False,
942,5,7,0.10800314098346739,0.8919968590165326,0.4530819058418274,0.11110237020915491,0.2518165660126468,0.05601245511219834,0.3079467047347133,COARSE,True,True,0.2987179487179487
942,10,7,0.09507841847237844,0.9049215815276216,0.43594905734062195,0.11264111967865685,0.27855153707194574,0.06173729597498589,0.30350148924693354,COARSE,True,True,0.32692307692307687
942,20,11,0.23763237759714764,0.7623676224028524,0.38421034812927246,0.19008656980885355,0.2091759207196674,0.02150149938622949,0.34432938032403543,COARSE,False,False,
942,40,10,0.19401939769519727,0.8059806023048027,0.4293723404407501,0.41591312325980023,0.17513030269475335,0.019133627660126634,0.33736208757932434,COARSE,False,False,
942,80,8,0.14045289585941978,0.8595471041405802,0.37643349170684814,0.08506540253912377,0.24304488056538093,0.023142498826990623,0.300585170736525,COARSE,False,False,
1414,5,4,0.1561790360576413,0.8438209639423587,0.566321849822998,0.34338357257027374,0.336247121937173,0.06614487938298011,0.3392605633802817,COARSE,True,False,0.5801282051282051
1414,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.37296077073161027,0.0726890297918316,0.33475522047517486,COARSE,True,False,0.5923076923076923
1414,20,5,0.2060315371718415,0.7939684628281585,0.5041155219078064,0.5546372368758576,0.3385725607496971,0.03395125142438669,0.3605624014327337,COARSE,True,False,0.4467948717948718
1414,40,4,0.16986778157431184,0.8301322184256882,0.5623030662536621,0.339976350623332,0.3249902930194666,0.03797853183693122,0.34485491499424775,COARSE,True,False,0.38141025641025644
1414,80,5,0.18347163564591779,0.8165283643540822,0.4891788959503174,0.5751336717467954,0.33871035083234446,0.11116183266308716,0.3504704475749857,COARSE,True,True,0.49230769230769234
1885,5,4,0.1561790360576413,0.8438209639423587,0.566321849822998,0.34338357257027374,0.3325040122750808,0.07686583479515284,0.3392605633802817,COARSE,True,False,0.5737179487179487
1885,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.3862909986000058,0.07667158869963779,0.33475522047517486,COARSE,True,False,0.6371794871794871
1885,20,5,0.2060315371718415,0.7939684628281585,0.5041155219078064,0.5546372368758576,0.3514415553891874,0.05698858667086877,0.3605624014327337,COARSE,True,True,0.4852564102564103
1885,40,4,0.16986778157431184,0.8301322184256882,0.5623030662536621,0.339976350623332,0.343306116429136,0.06342464515825072,0.34485491499424775,COARSE,True,False,0.451923076923077
1885,80,4,0.13729068953076254,0.8627093104692375,0.5587854385375977,0.34026410013592345,0.34890164693301484,0.11687938344962794,0.33170971709717095,COARSE,True,True,0.5410256410256411
1357,5,4,0.1561790360576413,0.8438209639423587,0.566321849822998,0.34338357257027374,0.34214211415795137,0.06614487938298011,0.3392605633802817,REFINE_1,True,False,0.6121794871794872
1357,8,5,0.16381926611345743,0.8361807338865426,0.48014411330223083,0.573620022919876,0.3270760609717719,0.07599918973748249,0.34251269035532994,REFINE_1,True,True,0.44423076923076915
1357,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.3796248073462928,0.0726890297918316,0.33475522047517486,REFINE_1,True,False,0.617948717948718
