segment,rank,term,segment_mean_tfidf,global_mean_tfidf,lift_vs_global,differential_score,segment_document_frequency,segment_document_share
0,1,cute,0.0631706468375697,0.006049744324174495,10.441870506113935,0.21378894234613258,1567,0.5301082543978349
0,2,year old,0.048653785770721415,0.005008924743628093,9.713419197184185,0.15958340652790665,1643,0.5558186738836265
0,3,school,0.04029152268153171,0.004552582842066125,8.850255793565244,0.12674581460832077,1306,0.44181326116373476
0,4,old,0.04585889301679674,0.008718771685209056,5.259788267002585,0.10983226545561105,1877,0.6349797023004059
0,5,students,0.02448418146471555,0.001824770923474608,13.417674041888347,0.09171927883808913,449,0.15189445196211096
0,6,super cute,0.020673588319749147,0.0016936611070770778,12.206449225383228,0.0746227990445329,650,0.2198917456021651
0,7,classroom,0.019059356594977928,0.0014624243476436664,13.032712846756574,0.07059710553433889,477,0.16136671177266576
0,8,yr old,0.017575973369496983,0.0017090520588313256,10.284047972319602,0.05909633397063733,747,0.2527063599458728
0,9,yr,0.017390347847202375,0.001933578018616767,8.993869226776336,0.05510900207020521,768,0.2598105548037889
0,10,granddaughter,0.017452627598277794,0.0020678721898722864,8.439896661077388,0.053705667799729934,711,0.2405277401894452
0,11,old daughter,0.014501110461629411,0.0013205061152072315,10.981479210622378,0.05013034603009441,611,0.2066982408660352
0,12,old loves,0.013645683554998211,0.0010895399103838222,12.524262226123373,0.04976108263158397,576,0.19485791610284167
0,13,year old daughter,0.012266912450906471,0.001108574494620246,11.065483195193977,0.042541585468664725,532,0.17997293640054127
0,14,year old loves,0.011046317967590773,0.0008662082663277858,12.752496582222859,0.04056989825991167,495,0.16745602165087956
0,15,toddler,0.010576012605466107,0.0009499553693161121,11.13316786971453,0.03677059871938077,470,0.15899864682002707
0,16,adorable,0.011569113671032284,0.0013186949735086585,8.773153682748278,0.03624713845636507,448,0.15155615696887687
0,17,tablet,0.014685616353207098,0.003019421611246579,4.863718367333395,0.0335134531351219,780,0.2638700947225981
0,18,teacher,0.009342325757667315,0.0007893570332356039,11.83536138081574,0.03330568890596779,372,0.12584573748308525
0,19,really cute,0.008672095845885358,0.000775150500220526,11.18762850985785,0.03021212804398596,328,0.11096075778078485
0,20,old son,0.009948015171409768,0.0012151945312224345,8.186356100710993,0.03017453274779564,445,0.15054127198917455
0,21,niece,0.009923195277665216,0.001224005053164083,8.107152208976885,0.02996006384297587,450,0.15223274695534506
0,22,school year,0.007859080738975385,0.0006025916863816793,13.042132682121572,0.029118742107917178,345,0.11671177266576455
0,23,broke,0.024239992989003842,0.010648624408713765,2.2763497008958185,0.02876613796757071,1308,0.44248985115020295
0,24,fit year,0.007566816769171759,0.0006251265397254648,12.104456101624486,0.027221368703783607,377,0.12753721244925575
0,25,super,0.01982015517144896,0.007679827897872118,2.580807204723924,0.027110451642557182,1164,0.39377537212449254
0,26,grandson,0.01114938884125969,0.002112888745299231,5.276846148093731,0.0267549199348812,515,0.17422192151556157
0,27,year old son,0.00861845721623861,0.0010144162300796471,8.495977246012668,0.02660328052401265,390,0.13193504736129905
0,28,granddaughter loves,0.007898685458685183,0.0008134234103135737,9.710423070968448,0.02590400872895412,373,0.12618403247631935
0,29,fit year old,0.006993332348057256,0.0005431018499380962,12.876649816195103,0.025782216151755483,346,0.11705006765899864
0,30,class,0.010200823086458909,0.0018302321370150681,5.57351325855416,0.02528362765148821,495,0.16745602165087956
0,31,got year old,0.006979974505434126,0.0006188348518152015,11.27922009350451,0.024399166845257846,366,0.12381596752368065
0,32,daughters,0.008620199764803941,0.0012127941046398696,7.107719047872457,0.02438987818665591,466,0.15764546684709066
0,33,olds,0.006848427440157855,0.0006382677206459153,10.729709820665319,0.023445859488708115,372,0.12584573748308525
