segment,form_factor,product_count,review_count,product_share_within_segment,review_share_within_segment
-1,EARBUD_INEAR,4822,110636,0.7094306311608063,0.5133444691907944
-1,ON_EAR,558,7249,0.08209504193026335,0.033634929472902746
-1,OVER_EAR,1368,96092,0.20126526408709725,0.4458611729769859
-1,UNKNOWN,49,1543,0.007209062821833162,0.007159428359317
0,EARBUD_INEAR,992,15246,0.33558863328822736,0.10673630266455705
0,ON_EAR,749,53800,0.253382949932341,0.3766504711631359
0,OVER_EAR,1206,73711,0.40798376184032475,0.5160461501841247
0,UNKNOWN,9,81,0.003044654939106901,0.0005670759881824164
1,EARBUD_INEAR,10296,1323252,0.7627796710623796,0.7804365365832944
1,ON_EAR,795,76358,0.05889761446140169,0.04503493896886398
1,OVER_EAR,2386,294545,0.17676692843384206,0.1737187471985128
1,UNKNOWN,21,1373,0.0015557860423766484,0.0008097772493288227
2,EARBUD_INEAR,8475,40751,0.7756017205088314,0.8612338060316588
2,ON_EAR,854,1999,0.07815502882767457,0.04224697254686476
2,OVER_EAR,1554,4494,0.14221652786675207,0.0949764355305704
2,UNKNOWN,44,73,0.004026722796742015,0.0015427858909060168
3,EARBUD_INEAR,9403,590300,0.7266053628004018,0.6843597763860517
3,ON_EAR,1165,95313,0.09002395487211189,0.11050039533573394
3,OVER_EAR,2316,175220,0.17896607681013832,0.20313996276192442
3,UNKNOWN,57,1725,0.004404605517347964,0.001999865516289919
