model,k,silhouette,stability_ari,inertia,largest_cluster_share,selection_score
KMEANS,2,0.0721410439430192,0.9976814545602605,32993.593426789805,0.5346038752944672,0.07197378165456707
KMEANS,3,0.011904788818199582,0.9991730661017743,32127.725062680558,0.47745070990470934,0.011894944344774594
KMEANS,4,0.014900584937304145,0.9998671743273863,31601.829146013864,0.41870582991998984,0.01489860575708751
KMEANS,5,-0.004005691899499167,0.9950603500391947,31121.55959022157,0.3769816846707273,-0.003985905183664807
KMEANS,6,0.0013200527882342124,0.8887407391292875,30723.795108773884,0.35550414906937755,0.0011731846907049508
KMEANS,7,0.008935580057381516,0.9916196719221121,30295.058508073667,0.34968908508245083,0.008860696964934427
KMEANS,8,0.014979514335097473,0.9669752293315946,29968.743620145804,0.30380525902502176,0.014484819309456788
KMEANS,9,-0.0028659019104672234,0.7847760263789723,29685.356768266225,0.29667437763959337,-0.0022490911132883725
KMEANS,10,0.010266529137942845,0.6255582586839042,29446.93592108646,0.22277637471083853,0.0064223120902590905
KMEANS,11,0.021606829024443427,0.7011947895533485,29205.333119604886,0.26093507926738685,0.01515059593070979
KMEANS,12,0.005679017922387059,0.7019514402061325,28926.98573145344,0.2031876737621766,0.0039863948095760346
