run,n_neighbors,n_components,random_state,cluster_count,noise_rate,silhouette_assigned,relative_validity,mean_cluster_persistence,ari_vs_base_assigned,mapped_agreement_base_assigned
neighbors_low,15,15,42,4,0.1704620216897642,0.5783159136772156,0.3342199886392428,0.4022322847489772,0.9435914234536809,0.9438519914686772
neighbors_high,60,15,42,4,0.20346357095863665,0.5573158264160156,0.34583879069114476,0.37086157095656785,0.9845401720060538,0.9213828679132979
dimensions_low,30,10,42,5,0.19584456376408668,0.46553924679756165,0.6023265887975114,0.332078011937039,0.934629838901172,0.9309537741369222
dimensions_high,30,20,42,4,0.13603854071605934,0.5360695719718933,0.06229002752454849,0.3772363904329435,0.9939357046211714,0.9744060314468528
seed_alt,30,15,52,5,0.20516139985992912,0.4984630346298218,0.5435274863227546,0.33821269450798935,0.8961140743939593,0.9166846013128161
