moderator,global_p_value,global_p_value_holm,global_heterogeneity_supported,mens_p_value,mens_p_value_holm,mens_heterogeneity_supported,womens_p_value,womens_p_value_holm,womens_heterogeneity_supported
recency_band,0.6450862175944492,1.0,False,0.5139408278246127,1.0,False,0.8010420177209228,0.8010420177209228,False
history_segment,0.05272199753205662,0.36108833542609625,False,0.5120266714312876,1.0,False,0.04170045502721856,0.25020273016331135,False
mens,0.10261954362500042,0.513097718125002,False,0.3203126308584305,1.0,False,0.1436015302680024,0.718007651340012,False
womens,0.59004916700609,1.0,False,0.5890340220775828,1.0,False,0.3150905932023031,0.718007651340012,False
newbie,0.05158404791801375,0.36108833542609625,False,0.18872246414559193,1.0,False,0.017747710469054198,0.12423397328337939,False
channel,0.3152873209931396,1.0,False,0.33024515183475356,1.0,False,0.16666101749932058,0.718007651340012,False
zip_code,0.4313790087479229,1.0,False,0.9770127639230513,1.0,False,0.21485854600755,0.718007651340012,False
