price_band,product_count,review_count,median_rating,median_reviews_per_product,product_share,review_share
<$25,5172,745360,4.0,9.0,0.4534058034540195,0.426262958997868
$25-49,3091,547484,4.0,13.0,0.2709739633558341,0.3130999112428743
$50-99,1634,235608,4.1,15.0,0.14324537564653284,0.13474155206017185
$100-199,921,144912,4.1,14.0,0.08073989655474709,0.08287353482115897
$200+,589,75228,4.2,10.0,0.05163496098886648,0.04302204287792693
